¿Cuál es la capital de Francia?;a. París;b. Francia;c. Madrid;d. Roma;a
¿Arkansas está al lado de Kansas?;a. Sí;b. No;c. Tal vez;d. A lo mejor;b
¿Cuánto es 2+2?;a. 8;b. 5;c. 0;d. 4;d
¿Cuál es la raíz cuadrada de 9?;a. 81;b. 65;c. 3;d. 65;c
¿Cuál es la capital de Suecia?;a. Suiza;b. Suecia;c. Estocolmo;d. Praga;c
Un perro...;a. Ladra;b. Maúlla;c. Bala;d. Pía;a
Cuando el grajo vuela abajo...;a. ...amanece más temprano;b. ...Dios le ayuda;c. ...atardece más temprano;d. ...hace un frío del carajo;d
Más vale pájaro en mano...;a. ...que ciento volando;b. ...amanece más temprano;c. ...Dios le ayuda;d. ...atardece más temprano;a
Si mezclas rojo y amarillo sale...;a. Verde;b. Naranja;c. Aguamarina;d. Morado;b
Un pájaro...;a. Repta;b. Ladra;c. Vuela;d. Maúlla;c
